"title","year","genres","rating"
"Hotel Mumbai","2018","action,drama,history,thriller","7.6 base on 46,575 votes"
"Saala Khadoos","2016","action,drama,sport","7.6 base on 10,890 votes"
"Guardians of the Galaxy Vol. 2","2017","action,adventure,comedy","7.6 base on 540,689 votes"
"Baby Driver","2017","action,crime,drama,music,thriller","7.6 base on 412,252 votes"
"Only the Brave","2017","action,biography,drama","7.6 base on 53,404 votes"
"The Last: Naruto the Movie","2014","action,adventure,animation,comedy,romance","7.6 base on 10,313 votes"
"Incredibles 2","2018","action,adventure,animation,comedy,family","7.6 base on 234,203 votes"
"Detective Byomkesh Bakshy!","2015","action,mystery,thriller","7.6 base on 15,313 votes"
"Sicario","2015","action,crime,drama,mystery,thriller","7.6 base on 354,753 votes"
"Rurôni Kenshin: Kyôto taika-hen","2014","action,adventure,drama,fantasy","7.6 base on 11,318 votes"
"Fury","2014","action,drama,war","7.6 base on 409,677 votes"
"Sinsegye","2013","action,crime,drama,thriller","7.6 base on 19,313 votes"
"Hell or High Water","II (2016)","action,crime,drama,thriller,western","7.6 base on 194,234 votes"
"Dawn of the Planet of the Apes","2014","action,adventure,drama","7.6 base on 403,767 votes"
"Delhi Belly","2011","action,comedy,crime","7.6 base on 26,307 votes"
"Serbuan maut","2011","action,thriller","7.6 base on 185,098 votes"
"End of Watch","2012","action,crime,drama,thriller","7.6 base on 222,013 votes"
"Mankatha","2011","action,crime,thriller","7.6 base on 12,242 votes"
"Jûsan-nin no shikaku","2010","action,adventure,drama","7.6 base on 60,207 votes"
"Chi bi: Jue zhan tian xia","2009","action,drama,history,war","7.6 base on 22,417 votes"
"Rise of the Planet of the Apes","2011","action,drama,thriller","7.6 base on 487,456 votes"
"Kick-Ass","2010","action,comedy,crime","7.6 base on 514,594 votes"
"Celda 211","2009","action,adventure,crime,drama,thriller","7.6 base on 62,331 votes"
"Sherlock Holmes","2009","action,adventure,mystery","7.6 base on 569,754 votes"
"Tekkon kinkurîto","2006","action,adventure,animation,crime","7.6 base on 12,169 votes"
"Eastern Promises","2007","action,crime,drama,thriller","7.6 base on 221,964 votes"
"Dalkomhan insaeng","2005","action,crime,drama,thriller","7.6 base on 34,559 votes"
"Jodhaa Akbar","2008","action,drama,history,romance,war","7.6 base on 28,652 votes"
"Huo Yuan Jia","2006","action,biography,drama,sport","7.6 base on 71,618 votes"
"Sarkar","2005","action,crime,drama","7.6 base on 15,193 votes"
"Harry Potter and the Half-Blood Prince","2009","action,adventure,family,fantasy,mystery","7.6 base on 450,959 votes"
"300","2006","action,drama","7.6 base on 717,460 votes"
"Watchmen","2009","action,drama,mystery","7.6 base on 485,548 votes"
"Lord of War","2005","action,crime,drama","7.6 base on 287,662 votes"
"Boksuneun naui geot","2002","action,drama,thriller","7.6 base on 60,082 votes"
"Minority Report","2002","action,crime,mystery,thriller","7.6 base on 493,002 votes"
"Star Trek: First Contact","1996","action,adventure,drama,thriller","7.6 base on 115,107 votes"
"Die Hard: With a Vengeance","1995","action,adventure,thriller","7.6 base on 354,351 votes"
"Jui kuen II","1994","action,comedy","7.6 base on 41,880 votes"
"The Crow","1994","action,drama,fantasy","7.6 base on 162,094 votes"
"The Hunt for Red October","1990","action,adventure,thriller","7.6 base on 172,706 votes"
"Lethal Weapon","1987","action,crime,thriller","7.6 base on 230,051 votes"
"Ging chaat goo si","1985","action,comedy,crime,thriller","7.6 base on 27,640 votes"
"Indiana Jones and the Temple of Doom","1984","action,adventure","7.6 base on 432,134 votes"
"Le professionnel","1981","action,crime,drama,thriller","7.6 base on 12,433 votes"
"Mad Max 2","1981","action,adventure,thriller","7.6 base on 161,720 votes"
"The Warriors","1979","action,crime,thriller","7.6 base on 90,453 votes"
"Forbidden Planet","1956","action,adventure,thriller","7.6 base on 43,874 votes"
"Winchester '73","1950","action,drama,western","7.6 base on 16,074 votes"
"Aleksandr Nevskiy","1938","action,biography,drama,history,war","7.6 base on 10,145 votes"
"Upgrade","2018","action,horror,thriller","7.5 base on 137,748 votes"
"Spider-Man: Far from Home","2019","action,adventure","7.5 base on 292,768 votes"
"John Wick: Chapter 3 - Parabellum","2019","action,crime,thriller","7.5 base on 247,386 votes"
"Busanhaeng","2016","action,horror,thriller","7.5 base on 140,430 votes"
"Srimanthudu","2015","action,drama","7.5 base on 10,711 votes"
"John Wick: Chapter 2","2017","action,crime,thriller","7.5 base on 344,658 votes"
"Predestination","I (2014)","action,adventure,drama,mystery,thriller","7.5 base on 241,590 votes"
"How to Train Your Dragon: The Hidden World","2019","action,adventure,animation,family,fantasy","7.5 base on 93,387 votes"
"Rurôni Kenshin: Meiji kenkaku roman tan","2012","action,drama,history","7.5 base on 18,869 votes"
"The Hunger Games: Catching Fire","2013","action,adventure,mystery,thriller","7.5 base on 598,002 votes"
"Ready Player One","2018","action,adventure","7.5 base on 344,234 votes"
"Hodejegerne","2011","action,crime,thriller","7.5 base on 94,414 votes"
"Sherlock Holmes: A Game of Shadows","2011","action,adventure,mystery","7.5 base on 410,406 votes"
"Redline","2009","action,animation,romance,sport,thriller","7.5 base on 10,604 votes"
"Samâ uôzu","2009","action,adventure,animation,comedy,drama,family,romance,thriller","7.5 base on 24,923 votes"
"Yip Man 2","2010","action,biography,drama,history","7.5 base on 93,869 votes"
"Kongen av Bastøy","2010","action,drama","7.5 base on 17,233 votes"
"L'instinct de mort","2008","action,biography,crime,drama,thriller","7.5 base on 31,360 votes"
"Doctor Strange","2016","action,adventure,fantasy","7.5 base on 569,566 votes"
"Lone Survivor","2013","action,biography,drama,war","7.5 base on 259,065 votes"
"Source Code","2011","action,drama,mystery,thriller","7.5 base on 472,620 votes"
"Sivaji","2007","action,drama,thriller","7.5 base on 16,926 votes"
"Grindhouse","2007","action,horror,thriller","7.5 base on 175,293 votes"
"Ghajini","2005","action,drama,mystery,thriller","7.5 base on 12,118 votes"
"Scott Pilgrim vs. the World","2010","action,comedy,fantasy,romance","7.5 base on 361,552 votes"
"Kung Fu Panda","2008","action,adventure,animation,comedy,family","7.5 base on 404,934 votes"
"L'ennemi public n°1","2008","action,biography,crime,drama,thriller","7.5 base on 27,765 votes"
"Munich","2005","action,drama,history,thriller","7.5 base on 206,234 votes"
"Shi mian mai fu","2004","action,adventure,drama,romance","7.5 base on 105,738 votes"
"Harry Potter and the Order of the Phoenix","2007","action,adventure,family,fantasy,mystery","7.5 base on 486,806 votes"
"Kiss Kiss Bang Bang","2005","action,comedy,crime,mystery,thriller","7.5 base on 209,531 votes"
"Zatôichi","2003","action,comedy,crime,drama,thriller","7.5 base on 46,200 votes"
"Shin seiki Evangelion Gekijô-ban: Shito shinsei","1997","action,animation,drama,mystery,thriller","7.5 base on 11,140 votes"
"Ghost Dog: The Way of the Samurai","1999","action,crime,drama,thriller","7.5 base on 82,564 votes"
"Star Wars: Episode III - Revenge of the Sith","2005","action,adventure,fantasy","7.5 base on 687,539 votes"
"Jing wu ying xiong","1994","action,drama,thriller","7.5 base on 21,809 votes"
"Sonatine","1993","action,comedy,crime,drama,romance,thriller","7.5 base on 16,991 votes"
"Siu nin Wong Fei Hung chi: Tit ma lau","1993","action,crime,drama","7.5 base on 15,069 votes"
"Total Recall","1990","action,thriller","7.5 base on 291,240 votes"
"Henry V","1989","action,biography,drama,history,romance,war","7.5 base on 27,507 votes"
"Batman","1989","action,adventure","7.5 base on 328,662 votes"
"Midnight Run","1988","action,comedy,crime,thriller","7.5 base on 71,519 votes"
"RoboCop","1987","action,crime,thriller","7.5 base on 225,335 votes"
"Ying hung boon sik","1986","action,crime,drama,thriller","7.5 base on 19,752 votes"
"Zui quan","1978","action,comedy","7.5 base on 34,897 votes"
"Bring Me the Head of Alfredo Garcia","1974","action,crime,drama,thriller,western","7.5 base on 17,525 votes"
"Charley Varrick","1973","action,crime,drama,thriller","7.5 base on 10,481 votes"
"Watch Out, We're Mad","1974","action,comedy","7.5 base on 10,408 votes"
"Tora! Tora! Tora!","1970","action,drama,history,war","7.5 base on 30,797 votes"
"It's a Mad Mad Mad Mad World","1963","action,adventure,comedy,crime","7.5 base on 36,539 votes"
"The Guns of Navarone","1961","action,adventure,drama,war","7.5 base on 44,050 votes"
"Fort Apache","1948","action,adventure,western","7.5 base on 15,814 votes"
"High Sierra","1941","action,adventure,crime,drama,thriller","7.5 base on 14,410 votes"
"Foreign Correspondent","1940","action,romance,thriller,war","7.5 base on 17,560 votes"
"Wings","1927","action,drama,romance,war","7.5 base on 10,918 votes"
"El Camino: A Breaking Bad Movie","2019","action,crime,drama","7.4 base on 164,853 votes"
"Raid","2018","action,crime,drama,thriller","7.4 base on 14,425 votes"
"Kesari","2019","action,drama,history,war","7.4 base on 12,928 votes"
"Patriots Day","2016","action,crime,drama,history,thriller","7.4 base on 83,948 votes"
"The Nice Guys","2016","action,comedy,crime,mystery,thriller","7.4 base on 264,201 votes"
"Badlapur","2015","action,crime,drama,thriller","7.4 base on 20,781 votes"
"War for the Planet of the Apes","2017","action,adventure,drama,thriller","7.4 base on 218,565 votes"
"John Wick","2014","action,crime,thriller","7.4 base on 510,858 votes"
"Mission: Impossible - Rogue Nation","2015","action,adventure,thriller","7.4 base on 330,612 votes"
"Spider-Man: Homecoming","2017","action,adventure","7.4 base on 485,537 votes"
"Dookudu","2011","action,comedy","7.4 base on 12,256 votes"
"The Next Three Days","2010","action,crime,drama,romance,thriller","7.4 base on 176,908 votes"
"Once Upon a Time in Mumbaai","2010","action,crime,drama,romance","7.4 base on 15,808 votes"
"Cloud Atlas","2012","action,drama,mystery","7.4 base on 337,533 votes"
"Looper","2012","action,adventure,crime,drama,thriller","7.4 base on 521,611 votes"
"Kaminey","2009","action,crime,drama,thriller","7.4 base on 16,132 votes"
"Mission: Impossible - Ghost Protocol","2011","action,adventure,thriller","7.4 base on 445,408 votes"
"Law Abiding Citizen","2009","action,crime,drama,thriller","7.4 base on 264,076 votes"
"Black Dynamite","2009","action,comedy","7.4 base on 44,659 votes"
"[Rec]","2007","action,adventure,horror,thriller","7.4 base on 160,620 votes"
"Der Baader Meinhof Komplex","2008","action,biography,crime,drama,history,thriller","7.4 base on 34,784 votes"
"Golmaal: Fun Unlimited","2006","action,comedy,drama,family","7.4 base on 14,440 votes"
"Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono","2005","action,adventure,animation,drama","7.4 base on 10,212 votes"
"Wonder Woman","2017","action,adventure,fantasy,war","7.4 base on 528,356 votes"
"Chi bi","2008","action,adventure,drama,history,war","7.4 base on 42,759 votes"
"Running Scared","2006","action,crime,drama,thriller","7.4 base on 95,760 votes"
"Pusher II","2004","action,crime,drama","7.4 base on 17,922 votes"
"Khakee","2004","action,crime,drama,thriller","7.4 base on 14,628 votes"
"Open Range","2003","action,drama,romance,western","7.4 base on 64,883 votes"
"Master and Commander: The Far Side of the World","2003","action,adventure,drama,history,war","7.4 base on 196,317 votes"
"X2","2003","action,thriller","7.4 base on 500,339 votes"
"Equilibrium","2002","action,drama,thriller","7.4 base on 305,830 votes"
"I Kina spiser de hunde","1999","action,comedy,crime","7.4 base on 19,342 votes"
"X-Men","2000","action,adventure","7.4 base on 557,700 votes"
"The Rock","1996","action,adventure,thriller","7.4 base on 304,381 votes"
"El día de la bestia","1995","action,adventure,comedy,crime,fantasy,horror,mystery,thriller","7.4 base on 16,694 votes"
"'A' gai wak","1983","action,comedy","7.4 base on 14,316 votes"
"Thief","1981","action,crime,drama,thriller","7.4 base on 23,660 votes"
"Se ying diu sau","1978","action,comedy","7.4 base on 10,250 votes"
"Assault on Precinct 13","1976","action,crime,thriller","7.4 base on 42,037 votes"
"Jing wu men","1972","action,drama,romance,thriller","7.4 base on 24,963 votes"
"The Getaway","1972","action,crime,thriller","7.4 base on 26,866 votes"
"Get Carter","1971","action,crime,thriller","7.4 base on 27,801 votes"
"Bullitt","1968","action,crime,thriller","7.4 base on 58,454 votes"
